,timeStamp,tripID,accData,gps_speed,battery,cTemp,dtc,eLoad,iat,imap,kpl,maf,rpm,speed,tAdv,tPos,deviceID
0,45:59.0,0,ffb0fd700220fff43fffe74808e73e03f33400ef33fbe13bf9d04100d942feef36fedc4504e1430df43e09fc3902f73cfdf431fdea4002e437ffef34f6de3df7d838edd640fccf49f7d83afdd93e08da46,2.2,14.48,,,44.31372549,,,0,0,903,4,,15.68627451,1
1,46:00.0,0,00b0fda802e804e14104ed3d01ee3a08ec4c04f738fbd53c06d23dffde4503ec3410ef4100fe37f9f02ffde93df9de43fee63efbe03803e63efeee3bf6e639f7de3efaef3e05e13a08e83e08e63b00ec3e,3.7,14.48,,,35.29411765,,,0,0,938,6,,15.29411765,1
2,46:01.0,0,00f0fe5002b0fdea4009e33c01ed3701ec4100f53b05e840fff33a04e84201e93e01e93f03e93c04e0400be73b0be4400ae43a06e74107ed3e04e93b03eb3e02ed3c04ef36ffe73f08e53f03f13b05e843,3.9,14.54,,,29.41176471,,,0,0,1044.5,7,,14.90196078,1
3,46:02.0,0,0120fdc0028804e03c10de3a09e8400ce43b0ae63b01f43c02f24005ea400aed3f0aed3f03ec3f02ed4303ea4106ef3f03e93b0aed4309ec4208eb400ce63b0aec3b03ef36ffe74003e23e0be93b05e93d,3.9,14.56,,,53.7254902,,,0,0,1102,7,,17.64705882,1
4,46:03.0,0,00a0fde802d816e0370ae73604e23b04e53900e542ffea44feed3d05d73d0ee93604df3806e13a05e83c0be33a0ae73b05de3707ed3c05ea3d0be63b0ce53a10e93d0ce03a0cde3c09e63cfdef3efcf041,4.7,14.48,,,75.68627451,,,0,0,1626.5,10,,23.52941176,1
5,46:04.0,0,0010fd5802c012e2430e013303ea45fdf03a08e2340be03605dc3e0ada3409dc460bde3608e03812dc3d0cd73513d83a0cd63111d73809d73111dd3d10d9380ddb340ee43c04dc3dffde3809e03b12e43a,6.7,14.6,,,51.37254902,,,0,0,2439.5,16,,23.52941176,1
6,46:05.0,0,0090fd58024006fe41fdf34404e43808da3b10df380ae03907d93b0de8380ae53b0fde3d0ee64004e13b11e23a0ae13a0de23d03e73a0feb3a10e7340be23b0fe53a10e83e05e23005e33a0ff43c08eb40,7.9,14.6,,,4.31372549,,,0,0,2125.5,15,,16.8627451,1
7,46:06.0,0,ff28fdd0027011f4480ee23b10f44710e93e16f33806f339ffe64500023bfdf3490ce23a0def480af13802f23c02f94c0bf23913ea4309ee48fdfc4802f14208eb3c15f55503023a0add4906e142020743,6.6,14.56,,,0,,,0,0,1533.5,15,,15.29411765,1
8,46:07.0,0,fe28fdc802c013f2370ee43f00fd3f09e3370af44209e14e05d54714254205e52f0aea390dfc420ff53c0ce84506fe3f09f2480ff33ffbe6470cef44feec4119f53416e2450ff83305e63405e24307043a,4.9,14.64,,,25.49019608,,,0,0,1533.5,10,,16.47058824,1
9,46:08.0,0,fd08fe0002c81af63817ed390ce6420bf9380be4410ae6460afe410d0a3607c24802fd3504f23a0ef52f0ad53f10e34a02fd4109e74808fc380ced4508cc460cec3e06ed3206e2400cee360eeb4513f141,4,14.38,,,25.49019608,,,0,0,1058,8,,15.29411765,1
10,46:09.0,0,fd10fe90032811e03d0be93b06e84301ed3c02eb430be54509e33b09f33c08ea4e03ea49f8e74cfcf54801dd5706f92d10d13209eb2a0bdf2c04e1380ce43710eb3d16e23719f24012f534f0e03d13ef31,3.3,14.58,,,36.47058824,,,0,0,936,7,,16.07843137,1
11,46:10.0,0,fcc8fed8028804e63a02ec3400e53bfef42f00d23b03df2c04e43901ed3800e93e02e73e02d13e00e23b06e9330fe4390ae63b0ff53a08e23801dd3ef9e63df6da3d00d34508e63e05df4105ed3d0ce839,3.7,14.52,,,51.76470588,,,0,0,852.5,6,,15.68627451,1
12,46:11.0,0,fd00fec802d003de4202e3380be93505da390ef13c0af135ffd84003e53e01e93dffe53d07e63b02ed3507e23403e33909e33d07e43efde33dfde041fde23efcdd47fee43f05e83a08e63a05e43901f03a,2.8,14.52,,,62.74509804,,,0,0,1088,7,,17.25490196,1
13,46:12.0,0,fd68fe2802b0feea37f8e53f01e934ffe33c00eb3802de3a01dd3a00e83bfbdd42f8e13e03dd3a06de3400dd36fddc3cfce73bfced3904dc400ee9310cda34ffd533f0e741f0f440f8e640fce941fee244,3.4,14.48,,,29.80392157,,,0,0,1334.5,9,,19.60784314,1
14,46:13.0,0,fec0fd5002b003f03d02e83e09ef34ffee38f6dd3c01f23606eb3efde03ef9eb46fae83f06e93800f138f3ea3df7d73dffe837fcec47f5e437fce443f9e53efde049f6e241f9e837ffeb37fceb3df9de3c,4.7,14.58,,,15.68627451,,,0,0,1474.5,10,,14.90196078,1
15,46:14.0,0,ff10fd2802d0111e3310d13cf3ec34f7f836fbe337f8f13ef8ee44ecdf42f1f33fecf13fece740f2f13df8e43502ed3800f03900eb43fde344fce73801ef4406f342fff73e00f24401ea46ffe23a03ec3c,4.4,14.6,,,16.47058824,,,0,0,1308.5,9,,14.90196078,1
16,46:15.0,0,ff20fd7802380af4370bee3604ea3803ea48f6e83dfbea3ffaed3704d63c03df360cdb4803e63906d840fbe73bfddb3b06e63409ed2a02e634faf537f8e33c02eb3cf5da4916e35208183a0dd2411ae830,5.2,14.58,,,35.68627451,,,0,0,1462.5,9,,14.90196078,1
